PEAK	DAHU_POPULATION
Mont_Blanc	10
Mont_Blanc_de_Courmayeur	95
Dufourspitze	75
Nordend	23
Zumsteinspitze	73
Signalkuppe	92
Dom	4
Liskamm_(Eastern_Summit)	22
Weisshorn	63
Taeschhorn	2
Liskamm_(Western_Summit)	47
Matterhorn	82
Picco_Luigi_Amedeo	88
Mont_Maudit	0
Parrotspitze	87
Dent_Blanche	98
Ludwigshohe	13
Nadelhorn	40
Schwarzhorn_(Corno_Nero)	56
Grand_Combin_(Grafeneire)	81
Dome_du_Gouter	45
Lenzspitze	50
Finsteraarhorn	50
Mont_Blanc_du_Tacul	4
Grand_Pilier_dAngle	5
Stecknadelhorn	29
Castor	57
Zinalrothorn	11
Hohberghorn	94
Vincent_Pyramid	80
Grandes_Jorasses_(Pointe_Walker)	93
Alphubel	88
Rimpfischhorn	5
Aletschhorn	28
Strahlhorn	27
Grand_Combin_(Valsorey)	94
Grandes_Jorasses_(Pointe_Whymper)	28
Dent_dHerens	50
Breithorn_(Western_Summit)	2
Breithorn_(Central_Summit)	65
Jungfrau	68
Bishorn	68
Breithorn_(Eastern_Summit/_western_Twin_Peak)	27
Grand_Combin_(Tsessette)	87
Aiguille_Verte	98
Aiguilles_du_Diable	52
Aiguille_Blanche_de_Peuterey	14
Grandes_Jorasses_(Pointe_Croz)	98
Aiguilles_du_Diable_(Pointe_Carmen)	12
Monch	57
Breithorn_(Gendarm/_eastern_Twin_Peak)	23
Grande_Rocheuse	56
Barre_des_Ecrins	61
Aiguilles_du_Diable_(Pointe_Mediane)	32
Pollux	0
Schreckhorn	1
Breithorn_(Roccia_Nera)	83
Aiguilles_du_Diable_(Pointe_Chaubert)	49
Mont_Brouillard	2
Grandes_Jorasses_(Pointe_Marguerite)	36
Aiguilles_du_Diable_(Corne_du_Diable)	34
Ober_Gabelhorn	74
Gran_Paradiso	1
Aiguille_de_Bionnassay	4
Piz_Bernina	94
Gross_Fiescherhorn	7
Vincent_Pyramid_(Punta_Giordani/Giordanispetz)	56
Grandes_Jorasses_(Pointe_Elena)	97
Grunhorn	91
Lauteraarhorn	18
Aiguille_du_Jardin	74
Durrenhorn	25
Allalinhorn	42
Hinter_Fiescherhorn	43
Weissmies	90
Dome_de_Rochefort	55
Barre_des_Ecrins_(Dome_de_Neige)	45
Dent_du_Geant	64
Punta_Baretti	94
Lagginhorn	61
Aiguille_de_Rochefort	67
Les_Droites	86
