PEAK	ALTITUDE	GROUP	COUNTRY
Mont_Blanc	4808	Mont_Blanc_Group	France/Italy
Mont_Blanc_de_Courmayeur	4748	Mont_Blanc_Group	France/Italy
Dufourspitze	4634	Monte_Rosa_Massif	Switzerland
Nordend	4609	Monte_Rosa_Massif	Italy/Switzerland
Zumsteinspitze	4563	Monte_Rosa_Massif	Italy/Switzerland
Signalkuppe	4554	Monte_Rosa_Massif	Italy/Switzerland
Dom	4545	Mischabel_Group	Switzerland
Liskamm_(Eastern_Summit)	4527	Wallis_Alps	Italy/Switzerland
Weisshorn	4505	Wallis_Alps	Switzerland
Taeschhorn	4491	Mischabel_Group	Switzerland
Liskamm_(Western_Summit)	4479	Wallis_Alps	Italy/Switzerland
Matterhorn	4478	Wallis_Alps	Italy/Switzerland
Picco_Luigi_Amedeo	4469	Mont_Blanc_Group	Italy
Mont_Maudit	4465	Mont_Blanc_Group	France/Italy
Parrotspitze	4432	Monte_Rosa_Massif	Italy/Switzerland
Dent_Blanche	4357	Wallis_Alps	Switzerland
Ludwigshohe	4341	Monte_Rosa_Massif	Italy/Switzerland
Nadelhorn	4327	Mischabel_Group	Switzerland
Schwarzhorn_(Corno_Nero)	4322	Monte_Rosa_Massif	Italy
Grand_Combin_(Grafeneire)	4314	Wallis_Alps	Switzerland
Dome_du_Gouter	4304	Mont_Blanc_Group	France
Lenzspitze	4294	Mischabel_Group	Switzerland
Finsteraarhorn	4274	Bernese_Alps	Switzerland
Mont_Blanc_du_Tacul	4248	Mont_Blanc_Group	France
Grand_Pilier_dAngle	4243	Mont_Blanc_Group	Italy
Stecknadelhorn	4241	Mischabel_Group	Switzerland
Castor	4223	Wallis_Alps	Italy/Switzerland
Zinalrothorn	4221	Wallis_Alps	Switzerland
Hohberghorn	4219	Mischabel_Group	Switzerland
Vincent_Pyramid	4215	Monte_Rosa_Massif	Italy
Grandes_Jorasses_(Pointe_Walker)	4208	Mont_Blanc_Group	France/Italy
Alphubel	4206	Mischabel_Group	Switzerland
Rimpfischhorn	4199	Mischabel_Group	Switzerland
Aletschhorn	4193	Bernese_Alps	Switzerland
Strahlhorn	4190	Mischabel_Group	Switzerland
Grandes_Jorasses_(Pointe_Whymper)	4184	Mont_Blanc_Group	France/Italy
Grand_Combin_(Valsorey)	4184	Wallis_Alps	Switzerland
Dent_dHerens	4171	Wallis_Alps	Italy/Switzerland
Breithorn_(Western_Summit)	4164	Wallis_Alps	Italy/Switzerland
Breithorn_(Central_Summit)	4159	Wallis_Alps	Italy/Switzerland
Jungfrau	4158	Bernese_Alps	Switzerland
Bishorn	4153	Wallis_Alps	Switzerland
Breithorn_(Eastern_Summit/_western_Twin_Peak)	4139	Wallis_Alps	Italy/Switzerland
Grand_Combin_(Tsessette)	4135	Wallis_Alps	Switzerland
Aiguille_Verte	4122	Mont_Blanc_Group	France
Aiguilles_du_Diable	4114	Mont_Blanc_Group	France
Aiguille_Blanche_de_Peuterey	4112	Mont_Blanc_Group	Italy
Grandes_Jorasses_(Pointe_Croz)	4110	Mont_Blanc_Group	France/Italy
Aiguilles_du_Diable_(Pointe_Carmen)	4109	Mont_Blanc_Group	France
Monch	4107	Bernese_Alps	Switzerland
Breithorn_(Gendarm/_eastern_Twin_Peak)	4106	Wallis_Alps	Italy/Switzerland
Grande_Rocheuse	4102	Mont_Blanc_Group	France
Barre_des_Ecrins	4102	Pelvoux	France
Aiguilles_du_Diable_(Pointe_Mediane)	4097	Mont_Blanc_Group	France
Pollux	4092	Wallis_Alps	Italy/Switzerland
Schreckhorn	4078	Bernese_Alps	Switzerland
Breithorn_(Roccia_Nera)	4075	Wallis_Alps	Italy/Switzerland
Aiguilles_du_Diable_(Pointe_Chaubert)	4074	Mont_Blanc_Group	France
Mont_Brouillard	4069	Mont_Blanc_Group	France
Grandes_Jorasses_(Pointe_Marguerite)	4065	Mont_Blanc_Group	France/Italy
Aiguilles_du_Diable_(Corne_du_Diable)	4064	Mont_Blanc_Group	France
Ober_Gabelhorn	4063	Wallis_Alps	Switzerland
Gran_Paradiso	4061	Graian_Alps	Italy
Aiguille_de_Bionnassay	4052	Mont_Blanc_Group	France/Italy
Piz_Bernina	4049	Bernina_Group	Switzerland
Gross_Fiescherhorn	4049	Bernese_Alps	Switzerland
Vincent_Pyramid_(Punta_Giordani/Giordanispetz)	4046	Monte_Rosa_Massif	Italy
Grandes_Jorasses_(Pointe_Elena)	4045	Mont_Blanc_Group	France/Italy
Grunhorn	4044	Bernese_Alps	Switzerland
Lauteraarhorn	4042	Bernese_Alps	Switzerland
Durrenhorn	4035	Mischabel_Group	Switzerland
Aiguille_du_Jardin	4035	Mont_Blanc_Group	France
Allalinhorn	4027	Wallis_Alps	Switzerland
Hinter_Fiescherhorn	4025	Bernese_Alps	Switzerland
Weissmies	4017	Wallis_Alps	Switzerland
Dome_de_Rochefort	4015	Mont_Blanc_Group	France/Italy
Barre_des_Ecrins_(Dome_de_Neige)	4015	Pelvoux	France
Punta_Baretti	4013	Mont_Blanc_Group	Italy
Dent_du_Geant	4013	Mont_Blanc_Group	France/Italy
Lagginhorn	4010	Wallis_Alps	Switzerland
Aiguille_de_Rochefort	4001	Mont_Blanc_Group	France/Italy
